Year,Revenue
2005, 39788
2006, 44282
2007, 51122
2008, 60420
2009, 58437
2010, 62484
2011, 69943
2012, 73723
2013, 77849
2014, 86833
2015, 93580
2016, 91154
2017, 96571
2018, 110360
2019, 125843
2020, 143015
